best_distance,best_fitness,mean_fitness,time,std_distance,crossover_type,elite_size,mutation_rate,mutation_type,population_size,selection_type,tournament_size
1525.590787403477,0.0006555637908290372,0.000654101741645382,5.4095213413238525,16.855185358277254,PMX,10,0.03,insert,100,tournament,15
2013.235714434567,0.0004968109981438392,0.0004822099293161562,0.8766324520111084,28.300518634673836,PMX,20,0.01,swap,30,rank,15
2195.3698352149027,0.00045569365904215826,0.00044016778064658415,43.33856391906738,44.773709695627986,CX,15,0.08,insert,250,roulette,10
1227.3384869258343,0.0008154451156820253,0.0008085614400752323,2.56900155544281,35.284451033438586,PMX,10,0.1,inversion,50,tournament,3
1991.9598178714919,0.000504187049727057,0.0003546580985708189,49.945024847984314,130.6482494248594,CX,2,0.005,scramble,200,tournament,10
2610.8732565705127,0.00038302979596192485,0.0003766374442173109,18.784284710884094,16.970467625516903,CX,15,0.03,insert,100,roulette,3
1318.5021504488213,0.0007596661587631541,0.000755041420401541,14.234483480453491,53.049669213026725,PMX,15,0.05,insert,250,tournament,5
1818.68411630737,0.0005507377461706897,0.0005362742818943813,0.565111517906189,73.09611490846385,OX,15,0.01,inversion,30,rank,10
2047.494907435134,0.000489022505800191,0.0003547954062017066,5.65978741645813,72.95166107228056,OX,10,0.15,inversion,200,roulette,15
2355.298250260092,0.0004245755666244023,0.0003485324827581711,7.801508188247681,3.404338443921006,CX,15,0.05,scramble,50,tournament,2
1652.36186004727,0.0006056039874915737,0.0005366399353134853,2.385534882545471,42.97644532980098,PMX,15,0.005,swap,50,rank,7
3078.5685511180095,0.0003248306695186078,0.00024216016036520506,11.716192483901978,11.30444202252147,PMX,2,0.01,scramble,150,rank,3
1282.4407413512736,0.0007797696252698765,0.0007755191146006212,6.115292072296143,3.7027342099296447,OX,5,0.01,insert,200,tournament,5
1641.9805844877806,0.000609049742806885,0.0006058750944383633,21.18359911441803,11.358232188450529,CX,25,0.05,inversion,100,tournament,7
3244.653137662522,0.0003084333387800831,0.00023457398973001216,14.903416752815247,89.36793111369343,PMX,5,0.15,swap,150,roulette,5
